enderecos,lon,lat,endereco_completo
"TV MANOEL PAIVA DA MOTA, 66 - CENTRO, Acará - PA, 68690-000",-48.1997465,-1.9622255,"TV MANOEL PAIVA DA MOTA, 66 - CENTRO, Acará - PA, 68690-000"
"AVENIDA PEDRO VINAGRE, 527 - CENTRO, Acará - PA, 68690-000",-48.1964869,-1.9625448,"AVENIDA PEDRO VINAGRE, 527 - CENTRO, Acará - PA, 68690-000"
"RUA 510, 240 - CENTRO, Aceguá - RS, 96445-000",-54.1606832,-31.8703818,"RUA 510, 240 - CENTRO, Aceguá - RS, 96445-000"
"PCA.CELSO CASTRO,S/N - CENTRO, Acopiara - CE, 63560-000",-39.4537711,-6.0959957,"PCA.CELSO CASTRO,S/N - CENTRO, Acopiara - CE, 63560-000"
"RUA MARECHAL DEODORO, NUM 346 - CENTRO, Acopiara - CE, 63560-000",-39.4529721,-6.0974763,"RUA MARECHAL DEODORO, NUM 346 - CENTRO, Acopiara - CE, 63560-000"
"R FRANCISCO GURGEL VALENTE, 216 - CENTRO, Acopiara - CE, 63560-000",-39.4527569,-6.0962464,"R FRANCISCO GURGEL VALENTE, 216 - CENTRO, Acopiara - CE, 63560-000"
"RUA PEDRO ALVES, 255 - CENTRO, Acopiara - CE, 63560-000",-39.4545654,-6.0929031,"RUA PEDRO ALVES, 255 - CENTRO, Acopiara - CE, 63560-000"
"AV.PARANA,344 - CENTRO, Acrelândia - AC, 69945-000",-67.0556621,-10.0768766,"AV.PARANA,344 - CENTRO, Acrelândia - AC, 69945-000"
"AVENIDA ALTINA PIRES ARANTES, NUM 16 - CENTRO, Acreúna - GO, 75960-000",-50.3720133,-17.4042265,"AVENIDA ALTINA PIRES ARANTES, NUM 16 - CENTRO, Acreúna - GO, 75960-000"
"R. ROSA GUIMARAES, Q. 45, LTS. E E G - CENTRO, Acreúna - GO, 75960-000",-50.375513,-17.4000835,"R. ROSA GUIMARAES, Q. 45, LTS. E E G - CENTRO, Acreúna - GO, 75960-000"
"AV. ALTINA PIRES ARANTES, 18 - CENTRO, Acreúna - GO, 75960-000",-50.3812824,-17.3960908,"AV. ALTINA PIRES ARANTES, 18 - CENTRO, Acreúna - GO, 75960-000"
"AV.RIO BRANCO,345 - CENTRO, Adamantina - SP, 17800-000",-51.0727467,-21.6885706,"AV.RIO BRANCO,345 - CENTRO, Adamantina - SP, 17800-000"
"RUA DEP. SALLES FILHO, NUM 280 - CENTRO, Adamantina - SP, 17800-000",-51.0739349,-21.6871434,"RUA DEP. SALLES FILHO, NUM 280 - CENTRO, Adamantina - SP, 17800-000"
"AV. RIO BRANCO, 543 - CENTRO, Adamantina - SP, 17800-000",-51.0736634,-21.6868101,"AV. RIO BRANCO, 543 - CENTRO, Adamantina - SP, 17800-000"
"RUA DEPUTADO SALLES FILHO 166 - CENTRO, Adamantina - SP, 17800-000",-51.0727049,-21.6865248,"RUA DEPUTADO SALLES FILHO 166 - CENTRO, Adamantina - SP, 17800-000"
"RUA DEPUTADO SALES FILHO, 231 - CENTRO, Adamantina - SP, 17800-000",-51.0731657,-21.687028,"RUA DEPUTADO SALES FILHO, 231 - CENTRO, Adamantina - SP, 17800-000"
"RUA SANTOS DUMONT, 725 - CENTRO, Adolfo - SP, 15230-000",-49.6447659,-21.2353989,"RUA SANTOS DUMONT, 725 - CENTRO, Adolfo - SP, 15230-000"
"AV. MARECHAL MASCARENHAS DE MORAIS, 72 - CENTRO, Adrianópolis - PR, 83490-000",-48.9907533,-24.6589136,"AV. MARECHAL MASCARENHAS DE MORAIS, 72 - CENTRO, Adrianópolis - PR, 83490-000"
"PCA.MONS.ALFREDO DE A.CAMARA,289 - CENTRO, Afogados da Ingazeira - PE, 56800-000",-37.6378061,-7.7500724,"PCA.MONS.ALFREDO DE A.CAMARA,289 - CENTRO, Afogados da Ingazeira - PE, 56800-000"
"AVENIDA MANOEL BORBA, NUM 29 - CENTRO, Afogados da Ingazeira - PE, 56800-000",-37.639617,-7.749658,"AVENIDA MANOEL BORBA, NUM 29 - CENTRO, Afogados da Ingazeira - PE, 56800-000"
"AVENIDA MANOEL BORBA, 222 - CENTRO, Afogados da Ingazeira - PE, 56800-000",-37.6391403,-7.7474432,"AVENIDA MANOEL BORBA, 222 - CENTRO, Afogados da Ingazeira - PE, 56800-000"
"AV.PRES.VARGAS,168 - CENTRO, Afonso Cláudio - ES, 29600-000",-41.124455,-20.078546,"AV.PRES.VARGAS,168 - CENTRO, Afonso Cláudio - ES, 29600-000"
"AVENIDA PRESIDENTE VARGAS, NUM 110 - CENTRO, Afonso Cláudio - ES, 29600-000",-41.12494,-20.078043,"AVENIDA PRESIDENTE VARGAS, NUM 110 - CENTRO, Afonso Cláudio - ES, 29600-000"
"RUA MAL DEODORO,68 - CENTRO, Afonso Cláudio - ES, 29600-000",-41.125667,-20.0755901,"RUA MAL DEODORO,68 - CENTRO, Afonso Cláudio - ES, 29600-000"
"R.CEL.JUBILENO CAVALCANTI,60 - CENTRO, Afrânio - PE, 56360-000",-41.0113447,-8.51777,"R.CEL.JUBILENO CAVALCANTI,60 - CENTRO, Afrânio - PE, 56360-000"
"TV.MARIANO CANDIDO DE ALMEIDA,21 - CENTRO, Afuá - PA, 68890-000",-50.3882859,-0.1575166,"TV.MARIANO CANDIDO DE ALMEIDA,21 - CENTRO, Afuá - PA, 68890-000"
"TV MARIANO CÂNDIDO DE ALMEIDA, 61 - CENTRO, Afuá - PA, 68890-000",-50.3884487,-0.1575394,"TV MARIANO CÂNDIDO DE ALMEIDA, 61 - CENTRO, Afuá - PA, 68890-000"
"R.CEL.MANOEL ALVES,68 - CENTRO, Agrestina - PE, 55495-000",-35.948953,-8.456713,"R.CEL.MANOEL ALVES,68 - CENTRO, Agrestina - PE, 55495-000"
